"department = sweing";"department = finishing_finishing ";"team";"targeted_productivity";"smv";"over_time";"idle_men";"no_of_style_change";"work_cond_f2";"actual_productivity"
1;0;8;0.8;25.9;10170.0;0.0;0.0;30.610905345175155;0.850136766
0;1;5;0.6;4.15;1440.0;0.0;0.0;50.583406098551414;0.8527935609999999
1;0;6;0.8;11.61;5760.0;0.0;0.0;56.541015911722226;0.8003863640000001
1;0;1;0.75;26.82;7080.0;0.0;0.0;34.39284780297503;0.750050847
0;1;3;0.5;5.13;1800.0;0.0;0.0;30.695846119876332;0.7866
1;0;13;0.8;15.26;4080.0;0.0;0.0;55.86807868452442;0.999999
1;0;11;0.7;10.05;6120.0;0.0;0.0;41.29847995354355;0.7002788459999999
0;1;8;0.35;4.15;1440.0;0.0;0.0;31.306051113481214;0.994375
0;1;10;0.8;3.94;1440.0;0.0;0.0;58.27489100608757;0.9746212120000001
1;0;12;0.8;11.61;5670.0;0.0;0.0;58.744315084013074;0.8002467529999999
1;0;14;0.7;22.94;10530.0;0.0;0.0;40.61984783963497;0.20022740225000002
1;0;3;0.7;22.52;8460.0;0.0;0.0;49.24981768186518;0.750037968
1;0;7;0.5;30.48;6600.0;0.0;1.0;46.06203913226393;0.5006109089999999
0;1;5;0.6;3.94;1440.0;0.0;0.0;63.05656538935568;0.9093916670000001
1;0;8;0.8;25.9;10170.0;0.0;0.0;28.838857744156854;0.800128721
0;1;14;0.8;5.13;4800.0;0.0;0.0;60.25996873428767;0.207515625
1;0;14;0.75;22.94;10530.0;0.0;0.0;63.095111708860294;0.212555944
0;1;11;0.7;4.15;2700.0;0.0;0.0;58.357082017336644;0.36266666700000005
1;0;11;0.7;11.41;2160.0;0.0;2.0;34.964391069046485;0.5659722220000001
1;0;9;0.8;26.16;10620.0;0.0;0.0;42.40616255024478;0.9002157159999999
1;0;1;0.75;28.08;6900.0;0.0;0.0;55.567738469748086;0.7504278259999999
1;0;9;0.8;29.12;6960.0;0.0;0.0;51.293505779123336;0.7999632179999999
0;1;9;0.7;2.9;1800.0;0.0;0.0;47.65120171385668;0.726933333
1;0;9;0.8;29.12;3240.0;0.0;0.0;35.85463795608095;0.8001441440000001
1;0;3;0.6;22.52;10170.0;0.0;0.0;62.83880238957546;0.600291767
0;1;5;0.7;3.94;240.0;0.0;0.0;55.278675658113045;0.971866667
0;1;10;0.7;2.9;3360.0;0.0;0.0;40.71460944455434;0.6645833329999999
1;0;3;0.8;29.4;6840.0;0.0;0.0;65.40101878909175;0.800333333
1;0;5;0.8;30.1;1200.0;0.0;1.0;54.47589752376734;0.598792339
0;1;14;0.7;3.94;1800.0;0.0;0.0;54.34505848157515;0.22759469699999998
1;0;3;0.75;22.52;10350.0;0.0;0.0;51.20602066804963;0.800513307
0;1;6;0.8;2.9;960.0;0.0;0.0;82.82955179986331;0.604166667
0;1;6;0.8;2.9;960.0;0.0;0.0;91.34165147083687;0.749166667
0;1;1;0.75;3.94;1200.0;0.0;0.0;66.16636490187126;0.853666667
0;1;8;0.8;2.9;1440.0;0.0;0.0;69.76542313682917;0.675568182
0;1;8;0.8;2.9;1440.0;0.0;0.0;29.50656845841979;0.606912879
0;1;2;0.8;5.13;1440.0;0.0;0.0;55.36755910019427;0.919125
1;0;8;0.5;15.09;720.0;0.0;0.0;57.43929214595911;0.500061916
1;0;2;0.8;28.08;10530.0;0.0;0.0;41.425382500410194;0.8
1;0;6;0.6;23.41;2520.0;0.0;1.0;45.235399389331235;0.601037091
1;0;14;0.75;19.87;6600.0;0.0;0.0;52.63997511014935;0.1875607575
0;1;14;0.8;3.94;1440.0;0.0;0.0;40.32884530857782;0.23785511375
0;1;14;0.8;3.94;1440.0;0.0;0.0;32.6927552402006;0.20893939399999997
1;0;3;0.75;29.4;4440.0;0.0;2.0;28.609408404098513;0.750716981
0;1;11;0.7;4.15;1440.0;0.0;0.0;42.622999797976156;0.409545455
1;0;1;0.7;22.94;10530.0;0.0;0.0;40.61984783963497;0.8009096090000001
1;0;4;0.75;26.82;5880.0;0.0;0.0;46.706782861032465;0.850084211
0;1;4;0.6;3.94;960.0;0.0;0.0;63.209619191407896;0.673083333
1;0;13;0.8;15.26;4080.0;0.0;0.0;85.34623195711569;0.999999
1;0;11;0.7;27.13;9540.0;0.0;0.0;47.35728057243109;0.582301029
0;1;14;0.7;3.94;3360.0;0.0;0.0;43.68889293960985;0.138857639
0;1;9;0.8;3.94;1440.0;0.0;0.0;31.334811647326852;0.8581439390000001
1;0;1;0.7;26.82;6960.0;0.0;0.0;46.78372619248685;0.750651724
0;1;14;0.8;3.94;1200.0;0.0;0.0;49.56436779527018;0.24050416675
1;0;9;0.75;18.79;6240.0;0.0;0.0;18.20914674806532;0.750395513
1;0;14;0.7;16.1;5400.0;0.0;1.0;55.29024849978519;0.175012963
1;0;5;0.8;30.1;7140.0;0.0;0.0;65.67888860510385;0.722568627
1;0;10;0.6;18.22;5280.0;0.0;1.0;71.30551370115299;0.35542803
0;1;8;0.35;4.15;960.0;0.0;0.0;37.14719946491404;0.703770833
1;0;8;0.75;29.4;4560.0;0.0;2.0;21.401440973544982;0.7504259259999999
0;1;3;0.8;4.6;0.0;0.0;0.0;41.39860756418535;0.795416667
1;0;10;0.75;22.52;10080.0;0.0;0.0;50.94284982251049;0.80062987
1;0;10;0.7;22.52;10080.0;0.0;0.0;48.820871303258414;0.800020563
0;1;5;0.7;3.94;1440.0;0.0;0.0;59.46399486185004;0.75885
0;1;8;0.8;2.9;1440.0;0.0;0.0;50.212812197732795;0.735984848
1;0;3;0.8;29.4;6840.0;0.0;0.0;34.19380665998724;0.800333333
0;1;5;0.7;4.15;240.0;0.0;0.0;55.700461391173576;0.87
0;1;9;0.75;2.9;1080.0;0.0;0.0;45.17349297213627;0.9290740740000001
0;1;12;0.8;4.08;1080.0;0.0;0.0;41.492957431346085;0.272
0;1;5;0.75;5.13;1920.0;0.0;0.0;54.188821098408106;0.631354167
0;1;9;0.75;2.9;960.0;0.0;0.0;57.464588997754745;0.4078125
1;0;10;0.8;22.52;6720.0;0.0;0.0;62.542765595279526;0.850532143
1;0;13;0.8;15.26;4080.0;0.0;0.0;40.51361449278468;0.999999
0;1;5;0.5;4.15;1440.0;0.0;0.0;48.226870474065905;0.609138258
1;0;4;0.35;30.1;6060.0;15.0;0.0;59.291201115328086;0.350706422
0;1;9;0.8;3.94;1800.0;0.0;0.0;42.97150381148539;0.582045455
1;0;14;0.8;26.16;10620.0;0.0;0.0;51.407769803885394;0.20002927574999999
1;0;14;0.65;22.53;5040.0;0.0;1.0;47.267760379913064;0.145282738
1;0;2;0.8;22.52;3660.0;0.0;0.0;61.803009839949766;0.80037492
0;1;9;0.75;3.94;240.0;0.0;0.0;37.42933734951016;0.971866667
1;0;13;0.8;11.61;4470.0;0.0;0.0;52.9095610571821;0.999999
0;1;2;0.8;3.94;2160.0;0.0;0.0;15.229214396281442;0.966759259
0;1;14;0.8;3.94;1200.0;0.0;0.0;64.05404595267834;0.22326666675
1;0;4;0.8;22.52;10170.0;0.0;0.0;55.680685347627005;0.850312684
0;1;1;0.75;3.94;960.0;0.0;0.0;59.409965754574046;0.880754167
1;0;13;0.8;11.61;15120.0;0.0;0.0;42.86280239326486;0.999999
0;1;14;0.75;3.94;1200.0;0.0;0.0;66.16636490187126;0.21341666675
0;1;6;0.8;2.9;960.0;0.0;0.0;41.536122128837626;0.3715625
0;1;6;0.7;2.9;960.0;0.0;0.0;38.593627214231546;0.531666667
0;1;9;0.8;3.94;960.0;0.0;0.0;44.118415624701235;0.586041667
1;0;12;0.8;15.26;4080.0;0.0;0.0;54.193125331388636;0.8004019609999999
0;1;5;0.35;3.94;2400.0;0.0;0.0;48.573387535995565;0.80575
1;0;3;0.75;29.4;6960.0;0.0;2.0;47.57330206891314;0.750206897
0;1;9;0.8;3.94;2400.0;0.0;0.0;41.64445928114419;0.827147436
1;0;8;0.7;30.1;5880.0;10.0;1.0;29.127649232589807;0.7005730990000001
1;0;3;0.8;22.52;6840.0;0.0;0.0;8.53449845977618;0.950185965
1;0;14;0.8;26.16;10620.0;0.0;0.0;38.897612157036264;0.20002927574999999
0;1;12;0.8;4.6;0.0;0.0;0.0;52.58930393542445;0.902962963
1;0;4;0.65;22.52;10080.0;0.0;0.0;52.16552989554639;0.650130952
0;1;13;0.8;4.08;1080.0;0.0;0.0;34.686191681948024;0.999999
1;0;10;0.7;22.52;10080.0;0.0;0.0;42.934700059484456;0.750057359
1;0;9;0.7;18.79;6000.0;0.0;1.0;50.770599652319866;0.60128
0;1;2;0.8;3.94;960.0;0.0;0.0;53.12909097488191;0.804416667
0;1;14;0.8;3.94;960.0;0.0;0.0;30.130030661766863;0.280109375
1;0;3;0.5;30.1;6960.0;0.0;1.0;89.65621114470967;0.500801724
1;0;11;0.7;20.1;6120.0;0.0;0.0;32.326034107115305;0.7005089290000001
0;1;4;0.7;3.94;960.0;0.0;0.0;50.05777691833358;0.812625
1;0;3;0.8;22.52;5400.0;0.0;0.0;42.47295614049493;0.800161172
1;0;4;0.75;22.52;10080.0;0.0;0.0;54.39333159160824;0.9005562770000001
1;0;13;0.8;15.26;1080.0;0.0;0.0;67.41771150649933;0.999999
0;1;14;0.7;3.94;1440.0;0.0;0.0;38.84810569058214;0.2425189395
0;1;9;0.8;3.94;1440.0;0.0;0.0;46.73656931492306;0.8581439390000001
0;1;6;0.7;2.9;960.0;0.0;0.0;52.150327936425555;0.9425
1;0;12;0.8;15.26;4080.0;0.0;0.0;34.403087277736276;0.8004019609999999
0;1;2;0.8;3.94;2160.0;0.0;0.0;29.627582460704925;0.8755555559999999
0;1;13;0.8;4.08;1080.0;0.0;0.0;42.35204051407986;0.999999
1;0;6;0.8;18.79;3960.0;0.0;0.0;27.408243180265828;0.688017677
1;0;13;0.8;15.26;4080.0;0.0;0.0;57.591880414432126;0.999999
0;1;6;0.8;2.9;960.0;0.0;0.0;48.13311635580143;0.6225
1;0;8;0.5;30.1;6960.0;0.0;1.0;56.79374605325847;0.39354885100000003
0;1;10;0.8;3.94;3420.0;0.0;0.0;52.61141632847874;0.953110048
0;1;6;0.8;2.9;1440.0;0.0;0.0;28.700169328679635;0.9368611109999999
0;1;1;0.75;3.94;1200.0;0.0;0.0;51.68196792104707;0.9456
0;1;8;0.8;4.6;3600.0;0.0;0.0;45.11528867045048;0.5907407410000001
1;0;7;0.8;25.9;10170.0;0.0;0.0;37.115357089335276;0.850136766
1;0;4;0.8;30.1;5820.0;0.0;1.0;46.79362511893247;0.80000295
1;0;6;0.8;11.41;4380.0;0.0;0.0;50.515523211708015;0.800358775
0;1;2;0.8;3.94;2640.0;0.0;0.0;47.77570858530894;0.9999242420000001
1;0;5;0.7;20.79;7320.0;0.0;0.0;46.4878187145936;0.700095563
0;1;8;0.7;3.9;960.0;0.0;0.0;85.30274432628954;0.625625
1;0;14;0.75;19.87;6000.0;0.0;0.0;44.4683103098766;0.18827438275
1;0;11;0.6;14.89;10080.0;0.0;0.0;72.58286846226142;0.6002732679999999
0;1;14;0.75;3.94;960.0;0.0;0.0;64.54732962493938;0.18879166675
0;1;3;0.8;4.6;1440.0;0.0;0.0;56.6771932237395;0.8113888890000001
0;1;12;0.7;4.15;1080.0;0.0;0.0;67.69643650602742;0.823555556
0;1;14;0.7;3.9;960.0;0.0;0.0;51.12710262694336;0.18525
1;0;6;0.65;18.79;3960.0;0.0;0.0;55.16782365934749;0.651007071
1;0;6;0.8;11.41;5490.0;0.0;0.0;32.51708056240108;0.8003437659999999
1;0;10;0.8;22.52;6720.0;0.0;0.0;42.88534940476105;0.999995238
1;0;1;0.5;26.66;6840.0;0.0;2.0;50.26130246070628;0.5503497079999999
1;0;2;0.7;22.94;10620.0;0.0;0.0;18.742599133072368;0.8003027909999999
0;1;14;0.8;3.94;960.0;0.0;0.0;49.30411693281307;0.22572916675000002
1;0;13;0.8;15.26;4080.0;0.0;0.0;54.193125331388636;0.999999
1;0;13;0.7;15.26;6120.0;0.0;0.0;50.09065416450986;0.999999
0;1;14;0.8;3.94;1440.0;0.0;0.0;56.2997404328998;0.22106534100000003
0;1;13;0.8;4.08;1080.0;0.0;0.0;56.39155164259864;0.999999
1;0;14;0.7;30.33;6960.0;0.0;1.0;41.15317648193562;0.1655948275
1;0;2;0.7;30.33;6840.0;0.0;1.0;55.123667348308;0.7006052629999999
0;1;4;0.65;3.94;960.0;0.0;0.0;61.829378647778526;0.8068791670000001
1;0;12;0.8;15.26;4080.0;0.0;0.0;85.34623195711569;0.8004019609999999
1;0;7;0.75;30.1;5640.0;0.0;1.0;50.970637757446546;0.7507273259999999
1;0;9;0.8;22.52;6960.0;0.0;0.0;37.03554390166347;0.7999632179999999
1;0;2;0.7;16.1;5400.0;0.0;1.0;55.29024849978519;0.700051852
0;1;13;0.75;4.08;1080.0;0.0;0.0;48.80057736019191;0.999999
0;1;8;0.7;5.13;1920.0;0.0;0.0;43.09256915418526;0.672135417
1;0;8;0.8;25.9;10170.0;0.0;0.0;70.1141295563281;0.850136766
0;1;11;0.6;2.9;960.0;0.0;0.0;59.01317364189871;0.864583333
0;1;2;0.7;3.94;5100.0;0.0;0.0;54.18961722102821;0.912202112
0;1;13;0.8;5.13;1080.0;0.0;0.0;75.3703388464055;0.999999
0;1;2;0.7;3.9;960.0;0.0;0.0;34.68378630516845;0.325
0;1;12;0.8;4.08;1080.0;0.0;0.0;40.89584272026368;0.906666667
1;0;9;0.75;18.79;5640.0;0.0;1.0;31.83447406087094;0.750371895
1;0;13;0.8;15.26;4080.0;0.0;0.0;54.63204462021385;0.999999
1;0;4;0.8;30.1;7080.0;0.0;2.0;65.67803289470855;0.495617514
1;0;14;0.8;26.16;10620.0;0.0;0.0;62.30554712804353;0.21262557775
1;0;14;0.7;30.33;1800.0;0.0;0.0;71.95038602787197;0.17088765175
1;0;10;0.8;22.52;0.0;0.0;0.0;46.944194928207295;0.850364583
0;1;4;0.75;3.94;0.0;0.0;0.0;42.512814341743486;0.7953875
0;1;9;0.75;3.94;960.0;0.0;0.0;57.7563195508782;0.994270833
1;0;7;0.8;25.9;6720.0;0.0;0.0;48.24196737455034;0.800125
1;0;12;0.8;15.26;4080.0;0.0;0.0;44.14915481146285;0.8004019609999999
0;1;14;0.7;3.94;15000.0;0.0;0.0;34.68759241147207;0.1624155555
1;0;1;0.8;26.16;10620.0;0.0;0.0;39.00178281245402;0.850502311
1;0;14;0.8;26.16;10620.0;0.0;0.0;39.00178281245402;0.21262557775
1;0;11;0.75;10.05;3240.0;0.0;0.0;56.326739488898085;0.750027778
1;0;7;0.6;30.48;6840.0;0.0;1.0;47.89582956808687;0.630402924
1;0;7;0.7;22.52;10170.0;0.0;0.0;50.82042084309609;0.7005416999999999
1;0;7;0.8;25.9;10170.0;0.0;0.0;42.30291109911051;0.850136766
1;0;4;0.5;22.4;10170.0;0.0;0.0;54.56896464015992;0.500380799
1;0;14;0.7;22.94;12180.0;0.0;0.0;55.13595416151473;0.18754059175
0;1;7;0.8;2.9;960.0;0.0;0.0;49.96393024425988;0.5407291670000001
1;0;14;0.8;26.16;10620.0;0.0;0.0;29.059600443976386;0.21262557775
1;0;2;0.4;15.28;5400.0;30.0;1.0;27.222748569593044;0.30277037
0;1;4;0.8;3.94;3840.0;0.0;0.0;36.964117361791686;0.893663194
0;1;14;0.75;3.94;1920.0;0.0;0.0;40.721527939370375;0.20315625
0;1;11;0.8;4.15;1440.0;0.0;0.0;29.615313071614423;0.668087121
1;0;11;0.8;19.31;4800.0;0.0;0.0;42.958309023257875;0.800250962
1;0;13;0.8;15.26;4080.0;0.0;0.0;44.487769678401094;0.999999
0;1;6;0.6;2.9;1200.0;0.0;0.0;49.4852921877757;0.314166667
0;1;9;0.8;3.94;960.0;0.0;0.0;49.28013657836413;0.549791667
1;0;2;0.6;30.33;6840.0;0.0;1.0;65.18731051717579;0.328131579
0;1;12;0.8;5.13;2400.0;0.0;0.0;63.95633497144615;0.78375
1;0;9;0.7;29.12;6960.0;0.0;0.0;60.57679629834672;0.7505931029999999
0;1;8;0.8;2.9;960.0;0.0;0.0;59.15514952039334;0.6645833329999999
0;1;9;0.8;3.94;960.0;0.0;0.0;68.64494698486125;0.697708333
1;0;5;0.7;27.48;6960.0;0.0;0.0;39.327168426653884;0.7004241379999999
1;0;14;0.8;28.08;10530.0;0.0;0.0;41.425382500410194;0.2
0;1;11;0.8;2.9;960.0;0.0;0.0;40.894967117997766;0.758229167
1;0;14;0.75;22.94;6960.0;0.0;0.0;35.433839904829526;0.21259051725000003
1;0;4;0.75;30.1;7020.0;0.0;1.0;72.21961701684118;0.750356125
0;1;2;0.75;3.9;1920.0;0.0;0.0;67.17454811747879;0.8192708329999999
1;0;5;0.7;30.1;7020.0;0.0;0.0;50.98835446161864;0.700618234
0;1;10;0.8;3.94;1440.0;0.0;0.0;51.401805936943994;0.979527778
1;0;14;0.7;26.82;6960.0;0.0;0.0;46.78372619248685;0.187662931
1;0;12;0.8;11.61;6975.0;0.0;0.0;60.23910978814682;0.800030199
1;0;4;0.8;28.08;6900.0;0.0;0.0;66.80623088143491;0.800076522
0;1;2;0.6;3.9;960.0;0.0;0.0;65.59853296796798;0.950625
1;0;1;0.8;22.52;6780.0;0.0;0.0;33.22707897762351;0.900135693
0;1;6;0.75;2.9;3360.0;0.0;0.0;52.91887957106961;0.309333333
1;0;8;0.8;25.9;10260.0;0.0;0.0;52.64512537680536;0.850252525
1;0;2;0.7;30.33;1680.0;0.0;1.0;59.12017213570682;0.700623
1;0;6;0.75;18.79;3960.0;0.0;0.0;59.28836582822241;0.75065101
0;1;7;0.8;4.6;6000.0;0.0;0.0;41.78983804134846;0.825444444
0;1;4;0.8;3.94;4440.0;0.0;0.0;39.357433020540036;0.966781346
1;0;14;0.75;26.82;7080.0;0.0;0.0;47.9779196595379;0.22501525425000002
1;0;6;0.75;18.79;3960.0;0.0;0.0;38.163635949320366;0.75065101
1;0;1;0.8;26.16;10620.0;0.0;0.0;29.059600443976386;0.850502311
0;1;2;0.65;3.9;1920.0;0.0;0.0;34.40672153535205;0.528125
1;0;11;0.8;11.61;0.0;20.0;0.0;48.912839056392855;0.6824330359999999
1;0;11;0.75;19.31;9900.0;0.0;0.0;49.82211174905206;0.7500578509999999
1;0;13;0.8;11.61;4950.0;0.0;0.0;55.4472632415004;0.999999
0;1;4;0.8;3.94;12600.0;0.0;0.0;74.37068003058386;0.919905405
1;0;7;0.8;25.9;10170.0;0.0;0.0;24.642950221659056;0.850136766
1;0;7;0.6;23.54;6600.0;0.0;0.0;48.48460070614302;0.285333333
0;1;6;0.8;2.9;960.0;0.0;0.0;49.626637321297636;0.8319375
1;0;14;0.75;22.94;6960.0;0.0;0.0;49.06931509787104;0.21259051725000003
1;0;14;0.8;22.52;3840.0;0.0;0.0;50.89264879744975;0.20011762824999998
1;0;13;0.75;15.26;4200.0;0.0;0.0;41.63147243498228;0.999999
1;0;3;0.7;30.1;6960.0;0.0;1.0;54.91101890649275;0.700603448
1;0;12;0.8;11.61;5310.0;0.0;0.0;40.388590626123516;0.8001409690000001
1;0;6;0.75;20.2;3120.0;0.0;0.0;33.10072324102756;0.750212553
0;1;9;0.8;3.94;960.0;0.0;0.0;50.64465101912186;0.54175
0;1;14;0.75;3.94;960.0;0.0;0.0;52.19624448736608;0.22265104175
1;0;1;0.8;26.16;10620.0;0.0;0.0;38.897612157036264;0.8001171029999999
0;1;3;0.75;4.15;1920.0;0.0;0.0;59.982663667533615;0.875390625
1;0;10;0.75;19.31;6480.0;0.0;0.0;69.22059812517571;0.712205247
1;0;13;0.8;15.26;4080.0;0.0;0.0;47.99246429311398;0.999999
0;1;14;0.75;3.94;1800.0;0.0;0.0;67.15767449453477;0.22759469699999998
1;0;14;0.8;22.52;6900.0;0.0;0.0;49.8350765441412;0.25000463775
0;1;9;0.8;3.94;2400.0;0.0;0.0;39.01390839820014;0.753525
1;0;3;0.65;30.1;600.0;0.0;1.0;42.40205613821336;0.802243319
0;1;3;0.8;3.94;960.0;0.0;0.0;56.474390317504906;0.4925
1;0;4;0.7;22.52;10170.0;0.0;0.0;67.2089066095232;0.7005416999999999
1;0;11;0.75;10.05;0.0;0.0;0.0;60.31036826705171;0.750648148
0;1;12;0.8;2.9;1440.0;0.0;0.0;70.17304649222766;0.793844697
0;1;5;0.5;4.15;1440.0;0.0;0.0;57.02009346832482;0.337973485
0;1;11;0.65;4.15;2160.0;0.0;0.0;48.96412158427202;0.8383838379999999
0;1;3;0.75;3.94;1440.0;0.0;0.0;69.91939907019716;0.861875
0;1;7;0.8;3.94;960.0;0.0;0.0;57.56077946785644;0.676666667
1;0;13;0.8;15.26;2880.0;0.0;0.0;61.65744225208754;0.999999
1;0;9;0.75;18.79;6240.0;0.0;0.0;64.2051792041979;0.750395513
1;0;14;0.8;28.08;10530.0;0.0;0.0;34.3577430930991;0.2
1;0;8;0.35;30.1;6960.0;0.0;1.0;50.148091552102656;0.350301724
0;1;6;0.8;2.9;4800.0;0.0;0.0;48.7879111403668;0.626822917
0;1;14;0.8;3.94;2160.0;0.0;0.0;29.627582460704925;0.21888888899999998
0;1;10;0.75;3.94;1800.0;0.0;0.0;34.41958188286948;0.937242424
1;0;8;0.7;24.26;6660.0;0.0;0.0;29.53717987801292;0.586465465
1;0;1;0.8;26.16;7080.0;0.0;0.0;41.135239894121405;0.8003186440000001
0;1;5;0.7;4.15;240.0;0.0;0.0;53.53453695706671;0.58
0;1;6;0.8;2.9;1440.0;0.0;0.0;5.672828636511667;0.597348485
1;0;8;0.7;29.4;6840.0;0.0;2.0;46.60205273172982;0.700614035
1;0;10;0.8;22.52;6720.0;0.0;0.0;42.31640003092324;0.999995238
1;0;6;0.75;18.79;3960.0;0.0;0.0;69.95999992683234;0.75065101
0;1;1;0.8;3.94;1440.0;0.0;0.0;41.89553764641319;0.7962083329999999
0;1;10;0.75;3.94;1440.0;0.0;0.0;51.24702579585267;0.779791667
0;1;2;0.75;3.94;1440.0;0.0;0.0;46.346678034161286;0.970075758
0;1;11;0.7;4.15;1440.0;0.0;0.0;37.612800297306435;0.436326389
1;0;4;0.7;30.1;3300.0;0.0;1.0;53.27438156884798;0.7900032359999999
1;0;7;0.8;25.9;10170.0;0.0;0.0;51.82266524182844;0.800128721
0;1;1;0.7;3.94;960.0;0.0;0.0;51.52972993480422;0.8068791670000001
0;1;8;0.8;2.9;1440.0;0.0;0.0;67.08502305143404;0.639867424
1;0;14;0.8;28.08;10350.0;0.0;0.0;36.46514468290262;0.2001486165
0;1;2;0.7;3.9;1200.0;0.0;0.0;59.736894549116855;0.884
0;1;10;0.7;2.9;1800.0;0.0;0.0;48.66266739277409;0.902222222
1;0;14;0.8;22.52;6900.0;0.0;0.0;58.51492052834934;0.25000463775
1;0;5;0.65;21.98;10440.0;0.0;0.0;60.52828369934377;0.649983281
1;0;12;0.8;15.26;4080.0;0.0;0.0;78.04145617757405;0.8004019609999999
0;1;10;0.7;2.9;3360.0;0.0;0.0;43.7358061331229;0.41083333299999997
1;0;8;0.8;25.9;3630.0;0.0;0.0;37.15283831623927;0.800162602
0;1;13;0.75;4.08;1080.0;0.0;0.0;67.53765209101802;0.999999
1;0;2;0.7;30.33;6960.0;0.0;1.0;41.15317648193562;0.66237931
0;1;14;0.8;3.94;2160.0;0.0;0.0;42.93821987403507;0.24625
0;1;3;0.8;4.6;1200.0;0.0;0.0;34.46937061843525;0.9391666670000001
1;0;11;0.7;14.89;10260.0;0.0;0.0;36.0983876327151;0.700170388
